id,generic_name,category,safety_stock
P-0001,アネキセートチュウシャエキ,注射液,
P-0002,アミノフリードユエキ,輸液,
P-0003,ペチジンユウウシャエキ,注射液,
P-0004,セイショクスイ,輸液,
P-0005,ソルコーテフ,注射液,
P-0006,ナロキソンエンサンエンジョウチュウ,注射液,
P-0007,ハンドジェル,その他,
P-0008,ブドウトウエキ,輸液,
P-0009,ホリゾンチュウ,注射液,
P-0010,ラキュリーキューエス,その他,
P-0011,ラクトリンゲル,輸液,
P-0012,ラシックスチュウ,注射液,
P-0013,スイトウワクチン,ワクチン,
P-0014,ニシュコンゴウワクチン,ワクチン,
P-0015,ニホンノウエンワクチン,ワクチン,
P-0016,フウシンワクチン,ワクチン,
P-0017,ビーガタカンエンワクチン,ワクチン,
P-0018,カンネツキロクシ,事務用品,
P-0019,アトロピン,注射液,
P-0020,アミノレバンテンテキ,輸液,
P-0021,イーシージークリーム,その他,
P-0022,ウルトラランセット,その他,
P-0023,エコショウエタ,その他,
P-0024,アドレナリンチュウ,注射液,
P-0025,エピペンオトナヨウ,注射液,
P-0026,エピペンショウニヨウ,注射液,
P-0027,カミバン,その他,
P-0028,ガスコンドロップ,内視鏡,
P-0029,キシロカインチュウ,注射液,
P-0030,キョウリョクネオミノファーゲンシー,注射液,
P-0031,キシロカインポンプスプレー,内視鏡,
P-0032,クイックセンサー,その他,
P-0033,グルカゴンジーノボ,注射液,
P-0034,グルテストセンサー,その他,
P-0035,ケイツーエヌジョウチュウヨウ,注射液,
P-0036,ユーテストビジュアルケンニョウシケンシ,その他,
P-0037,サージカルテープ,その他,
P-0038,シアリス,その他,
P-0039,ジェルケアプラス,その他,
P-0040,ソセゴン,注射液,
P-0041,ソルデム,輸液,
P-0042,ノルニチカミン,注射液,
P-0043,トランサミン,注射液,
P-0044,トロップティーセンシティブ,その他,
P-0045,ナノトラップ,その他,
P-0046,ネオショウアルヨシダ,その他,
P-0047,ネオフィリン,注射液,
P-0048,バイアグラ,その他,
P-0049,ビジクリアハイゴウジョウ,内視鏡,
P-0050,ブラッドランセット,その他,
P-0051,フェジン,注射液,
P-0052,プリンペラン,注射液,
P-0053,ヘリコチェック,内視鏡,
P-0054,ポタコール,輸液,
P-0055,ポピヨドンエキ,その他,
P-0056,マイクロファイン,その他,
P-0057,メチコバールチュウ,注射液,
P-0058,メディセーフチップ,その他,
P-0059,メディセーフハリ,その他,
P-0060,ユービットジョウ,内視鏡,
P-0061,ユナシンエスキット,注射液,
P-0062,リープレス,その他,
P-0063,ビーシージーワクチン,ワクチン,
P-0064,マシンフウシンコンゴウワクチン,ワクチン,
P-0065,ヒブワクチン,ワクチン,
P-0066,インフルワクチン,ワクチン,
P-0067,ムンプスワクチン,ワクチン,
P-0068,ハイエンキュウキンワクチン,ワクチン,
P-0069,アクチット,輸液,
P-0070,ケイエヌホエキ,輸液,
P-0071,イソプロピルアルコール,その他,
P-0072,キシリト－ル,注射液,
P-0073,グリセリンカンチョウエキ,その他,
P-0074,ダッシメン,その他,
P-0075,ヂアミトールショウドクエキ,内視鏡,
P-0076,ノイロトロピン,注射液,
P-0077,ブスコパン,注射液,
P-0078,ベンゼットラブショウドクエキ,その他,
P-0079,ポララミン,注射液,
P-0080,マスキンエキ,その他,
P-0081,ブドウトウチュウ,注射液,
P-0082,ジュウソーチュウ,注射液,
P-0083,ピペラシリン,注射液,
P-0084,エルカトニン,注射液,
P-0085,シリンジ,注射器,
P-0086,トウヤクビンビーガタ,内視鏡,
P-0087,ジャンボカンシ,内視鏡,
P-0088,コウシュウハスネア,内視鏡,
P-0089,キュウビテナー,その他,
P-0090,エコーキロクシ,その他,
